DateTime;Measurement
03/01/2019 03:00;0
03/01/2019 03:15;0
03/01/2019 03:30;0
03/01/2019 03:45;0
03/01/2019 04:00;0
03/01/2019 04:15;0
03/01/2019 04:30;0
03/01/2019 04:45;0
03/01/2019 05:00;0
03/01/2019 05:15;0
03/01/2019 05:30;0
03/01/2019 05:45;0
03/01/2019 06:00;0
03/01/2019 06:15;0
03/01/2019 06:30;0
03/01/2019 06:45;0
03/01/2019 07:00;0
03/01/2019 07:15;0
03/01/2019 07:30;0
03/01/2019 07:45;0
03/01/2019 08:00;0
03/01/2019 08:15;0
03/01/2019 08:30;0
03/01/2019 08:45;0.55
03/01/2019 09:00;6.01
03/01/2019 09:15;19.94
03/01/2019 09:30;70.45
03/01/2019 09:45;94.64
03/01/2019 10:00;124.42
03/01/2019 10:15;165.64
03/01/2019 10:30;197.92
03/01/2019 10:45;243.73
03/01/2019 11:00;252.21
03/01/2019 11:15;276.83
03/01/2019 11:30;318.82
03/01/2019 11:45;331.3
03/01/2019 12:00;344.86
03/01/2019 12:15;360.79
03/01/2019 12:30;361.95
03/01/2019 12:45;369.48
03/01/2019 13:00;403.33
03/01/2019 13:15;397.14
03/01/2019 13:30;405.15
03/01/2019 13:45;359.97
03/01/2019 14:00;381.9
03/01/2019 14:15;305.86
03/01/2019 14:30;282.34
03/01/2019 14:45;273.84
03/01/2019 15:00;233.24
03/01/2019 15:15;198
03/01/2019 15:30;123.09
03/01/2019 15:45;92.75
03/01/2019 16:00;70.32
03/01/2019 16:15;20.08
03/01/2019 16:30;5.08
03/01/2019 16:45;0.68
03/01/2019 17:00;0
03/01/2019 17:15;0
03/01/2019 17:30;0
03/01/2019 17:45;0
03/01/2019 18:00;0
03/01/2019 18:15;0
03/01/2019 18:30;0
03/01/2019 18:45;0
03/01/2019 19:00;0
03/01/2019 19:15;0
03/01/2019 19:30;0
03/01/2019 19:45;0
03/01/2019 20:00;0
03/01/2019 20:15;0
03/01/2019 20:30;0
03/01/2019 20:45;0
03/01/2019 21:00;0
03/01/2019 21:15;0
03/01/2019 21:30;0
03/01/2019 21:45;0
03/01/2019 22:00;0
03/01/2019 22:15;0
03/01/2019 22:30;0
03/01/2019 22:45;0
03/01/2019 23:00;0
03/01/2019 23:15;0
03/01/2019 23:30;0
03/01/2019 23:45;0
04/01/2019 00:00;0
04/01/2019 00:15;0
04/01/2019 00:30;0
04/01/2019 00:45;0
04/01/2019 01:00;0
04/01/2019 01:15;0
04/01/2019 01:30;0
04/01/2019 01:45;0
04/01/2019 02:00;0
04/01/2019 02:15;0
04/01/2019 02:30;0
04/01/2019 02:45;0
04/01/2019 03:00;0
04/01/2019 03:15;0
04/01/2019 03:30;0
04/01/2019 03:45;0
04/01/2019 04:00;0
04/01/2019 04:15;0
04/01/2019 04:30;0
04/01/2019 04:45;0
04/01/2019 05:00;0
04/01/2019 05:15;0
04/01/2019 05:30;0
04/01/2019 05:45;0
04/01/2019 06:00;0
04/01/2019 06:15;0
04/01/2019 06:30;0
04/01/2019 06:45;0
04/01/2019 07:00;0
04/01/2019 07:15;0
04/01/2019 07:30;0
04/01/2019 07:45;0
04/01/2019 08:00;0
04/01/2019 08:15;0
04/01/2019 08:30;0
04/01/2019 08:45;0.22
04/01/2019 09:00;15.83
04/01/2019 09:15;43.48
04/01/2019 09:30;68.12
04/01/2019 09:45;92.48
04/01/2019 10:00;113.24
04/01/2019 10:15;150.12
04/01/2019 10:30;182.88
04/01/2019 10:45;205.27
04/01/2019 11:00;230.31
04/01/2019 11:15;221.38
04/01/2019 11:30;221.14
04/01/2019 11:45;207.94
04/01/2019 12:00;166.9
04/01/2019 12:15;152.62
04/01/2019 12:30;188.23
04/01/2019 12:45;117.04
04/01/2019 13:00;109.63
04/01/2019 13:15;101.48
04/01/2019 13:30;120.87
04/01/2019 13:45;130.89
04/01/2019 14:00;122.67
04/01/2019 14:15;113.01
04/01/2019 14:30;104.12
04/01/2019 14:45;80.01
04/01/2019 15:00;68.43
04/01/2019 15:15;55.51
04/01/2019 15:30;44.14
04/01/2019 15:45;30.9
04/01/2019 16:00;21.6
04/01/2019 16:15;10.01
04/01/2019 16:30;3.88
04/01/2019 16:45;0.25
04/01/2019 17:00;0
04/01/2019 17:15;0
04/01/2019 17:30;0
04/01/2019 17:45;0
04/01/2019 18:00;0
04/01/2019 18:15;0
